,ProtocolNum,ProductName,FullTitle,ProtocolPhase,ProtocolStatus,TA,PlannedEnrollment,ActualEnrollment,ActualScreened,ActualRescreened,ActualScreenFailure,ActualRandomizedDosed,ActualEarlyTerminated,PercEnrollmentCompleted,PlannedSites,ActiveSites,LegacyCompany,CRO,PlannedPrimaryStudy_CompletionDate,ActualPrimaryStudy_CompletionDate,SynopsisActualDate,Protocol_ActualDate,FirstSiteActivated_ActualDate,FSS_ActualDate,FSI_ActualDate,FSFV_ActualDate,LSI_ActualDate,LSI_AvgTx_ActualDate,LSO_ActualDate,LSO_2_ActualDate,LSO_3_ActualDate,LSO_4_ActualDate,LSO_Final_ActualDate,DBL_ActualDate,DBL_2_ActualDate,DBL_3_ActualDate,DBL_4_ActualDate,DBL_Final_ActualDate,CloseOut,numValsLSO,numValsDBL,PrimaryStudy_to_Synopsis,Synopsis_to_Protocol,Protocol_to_FirstSiteActivated,FirstSiteActivated_to_FSS,FSS_to_FSI,FSI_to_FSFV,FSFV_to_LSI,LSI_to_LSIAvgTxL,LSI_to_LSO
905,TAK-788-1006,Mobocertinib (TAK-788),DDI w/ Strong CYP3A Inh. & Inducer,I,All Activities Closed,Oncology,28,24,28,0,0,0,0,85.71%,1,0,0,Celerion,0,,2019-02-28,2019-04-23,,,2019-05-21,,2019-07-05,2019-08-16,2019-08-16,,,,,2019-09-25,,,,,40,5,5,,54,,,,,,42,42
909,TBD-1-304JYV,TAK-951,A Phase 0 pilot study in healthy subjects to assess the effects of an NK-1 receptor antagonist compared to placebo on nausea of vomiting after an apomorphine challenge.,0,Completed,GI,14,14,22,0,8,0,0,100.00%,1,0,0,Parexel,0,,2018-08-27,2018-10-01,,2018-10-22,2018-11-12,,2018-12-06,,2018-12-06,,,,,2019-01-31,,,,,56,5,5,,35,,,21,,,,0
912,TAK-935-2008,soticlestat (TAK-935),"A Phase 2a, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy, Safety, and Tolerability of TAK-935 as an Adjunctive Therapy in Adult Subjects With Chronic Complex Regional Pain Syndrome- Takeda study",II,Completed,NS,24,24,59,0,35,24,9,100.00%,6,0,0,PRA,0,,2018-11-20,2019-01-31,,2019-07-23,2019-07-31,,2020-03-16,,2020-10-21,,,,,2021-02-16,,,,,118,5,5,,72,,,8,,,,219
918,TAK-831-1008,TAK-831,ADME TAK-831,I,Reported,NS,6,6,17,0,0,0,0,100.00%,1,0,0,Celerion,0,,2019-08-29,2019-10-29,,2020-02-25,2020-02-26,,2020-02-27,,2020-04-01,,,,,2020-09-14,,,,,166,5,5,,61,,,1,,,,34
919,C16011,Ninlaro,"A Phase 3, Randomized, Controlled, Open-Label, Multicenter, Safety and Efficacy Study of Dexamethasone Plus MLN9708 or Physician’s Choice of Treatment Administered to Patients With Relapsed or Refractory Systemic Light Chain (AL) Amyloidosis",III,Recruitment Complete,Oncology,248,177,282,0,105,177,0,71.37%,74,30,0,PPD,0,,,2012-06-01,,,2013-01-02,,2019-05-31,2020-05-30,2019-02-20,,,,,2019-04-23,,,,,62,5,5,,,,,,,,365,-100
920,LuAA21004_402,Trintellix (vortioxetine),"A Randomized, Double-Blind, Placebo-Controlled, Phase 4, Relapse Prevention Study Evaluating the Efficacy and Safety of Vortioxetine (5, 10 and 20 mg) in Adults With Major Depressive Disorder",IV,Closed,NS,"1,100",995,0,0,712,0,0,90.45%,65,0,0,IQVIA,0,,2014-08-27,2014-10-27,,2015-02-10,2015-02-18,,2018-04-30,,2019-04-25,,,,,2019-06-25,,,,,61,5,5,,61,,,8,,,,360
921,Vonoprazan-2001,vonoprazan,"A randomized, double-blind, proof-of-concept, phase 2 study to evaluate the efficacy and safety of once daily oral vonoprazan 20mg or vonoprazan 40mg compared to esomeprazole 40mg for the treatment of subjects With symptomatic gastro oesophageal reflux disease who have a partial response following treatment with a high dose of proton pump inhibitor",II,Closed,GI,214,120,0,0,151,0,0,56.07%,38,0,0,IQVIA,0,,2014-12-19,2015-12-04,,2016-04-21,2016-07-14,,2018-09-07,,2018-10-05,,,,,2019-02-20,,,,,138,5,5,,350,,,84,,,,28
1002,C16013,Ninlaro,A Phase 1 Pharmacokinetic and Tolerability Study of Oral MLN9708 Plus Lenalidomide and Dexamethasone in Adult Asian Patients with Relapsed and/or Refractory Multiple Myeloma,I,Closed,Oncology,24,43,53,0,10,0,2,179.17%,8,8,0,PPD,0,,,2012-02-10,,,2012-12-17,,2014-06-17,2016-01-31,2014-07-14,,,,2017-04-04,2014-10-02,,,,2017-05-15,80,5,5,,,,,,,,593,27
1005,INK128-001,sapanisertib,"A Phase I, Open Label, Dose Escalation Study of Oral Administration of Single Agent INK128 in Subjects with Advanced Malignancies Followed by an Expansion in Subjects with Measurable Disease",I,Closed,Oncology,170,198,273,0,75,0,0,116.47%,16,17,0,Synteract,0,,,2009-11-03,,,2009-12-22,,2015-01-30,2015-10-02,2015-10-02,,,,2019-02-07,2016-03-04,,,,2019-05-09,154,5,5,,,,,,,,245,245
1006,INK128-002,sapanisertib,"A Phase I, Open Label, Dose Escalation Study of Oral Administration of Single Agent INK128 in Subjects with Relapsed or Refractory Multiple Myeloma or Waldenstrom Macroglobulinemia",I,Closed,Oncology,60,39,39,0,0,0,4,65.00%,12,1,0,Synteract,0,,,2010-04-07,,,2010-11-19,,2012-10-25,,2013-05-29,,,,2016-12-02,2013-06-25,,,,,27,5,5,,,,,,,,,216
1007,INK128-003,sapanisertib,"A Phase I, Open Label, Dose Escalation Study of Oral Administration of INK128 in Combination with Paclitaxel, with/without Trastuzumab, in Subjects with Advanced Solid Malignancies",I,Closed,Oncology,95,69,107,0,38,0,11,72.63%,3,4,0,Sarah Cannon Research Institut,0,,,2011-01-12,,,2011-03-01,,2013-07-23,2016-07-29,2014-05-29,,,,2017-09-15,2014-07-30,,,,2018-01-30,62,5,5,,,,,,,,1102,310
1009,C16014,Ninlaro,"A Phase 3, Randomized, Double-Blind, Multicenter Study Comparing Oral MLN9708 Plus Lenalidomide and Dexamethasone Versus Placebo Plus Lenalidomide and Dexamethasone in Adult Patients With Newly Diagnosed Multiple Myeloma",III,Recruitment Complete,Oncology,60,748,1148,0,400,748,0,1246.67%,200,127,0,PPD,0,,,2013-02-14,,,2013-05-17,,2015-12-31,2018-03-31,2018-02-15,2019-12-02,,,,2018-03-27,2020-01-22,,,,40,5,5,,,,,,,,821,777
1016,C16015,Ninlaro,Phase 1/1b Pharmacokinetics Study of Oral MLN9708 in Patients With Relapsed/Refractory Multiple Myeloma and Advanced Solid Tumors With Normal Renal Function or Severe Renal Impairment,I,Closed,Oncology,40,40,0,0,0,0,39,100.00%,10,0,0,ICON,0,,,2012-10-23,,,2013-09-24,,2015-02-17,2015-06-20,2015-03-03,,,,2016-11-18,2015-04-09,,,,2017-01-25,37,5,5,,,,,,,,123,14
1017,C16017,Ninlaro,"An Open-Label, Multicenter, Phase 2 Study of Oral MLN9708 in Adult Patients With Relapsed and/or Refractory Follicular Lymphoma",II,Closed,Oncology,44,29,0,0,0,0,26,65.91%,26,0,0,PPD,0,,,2013-05-23,,,2013-11-18,,2015-11-19,2016-03-19,2017-03-23,,,,2017-03-23,2017-05-10,,,,2017-05-10,48,5,5,,,,,,,,121,490
1018,C15009,pevonedistat (TAK-924),"A Phase 1B, Open-Label, Dose-Escalation Study of MLN4924 Plus Azacitidine in Treatment-Naïve Patients with Acute Myelogenous Leukemia Who are 60 Years or Older",I,Closed,Oncology,64,64,78,0,14,0,63,100.00%,4,8,0,PPD,0,,,2012-10-11,,,2013-04-15,,2015-11-30,2016-06-30,2016-06-30,,,,2018-05-17,2016-09-13,,,,2018-07-10,75,5,5,,,,,,,,213,213
1019,C16016,Ninlaro,"A Phase 1 Study of [14C]-MLN9708 to Assess Mass Balance, Pharmacokinetics, and Metabolism in Patients with Advanced Solid Tumors or Lymphoma",I,Closed,Oncology,6,7,12,0,5,0,2,116.67%,1,1,0,ICON,0,,,2012-11-12,,,2014-03-19,,2014-11-12,2015-03-21,2015-02-20,,,,2016-01-21,2015-02-28,,,,,8,5,5,,,,,,,,129,100
1028,C25001,ADCETRIS,"A Randomized, Open-Label, Phase 3 Trial of Brentuximab Vedotin (SGN-35) Versus Physician's Choice (Methotrexate or Bexarotene) in Patients With CD30-Positive Cutaneous T-Cell Lymphoma",III,Closed,Oncology,136,132,236,0,104,0,0,97.06%,52,10,0,ICON,0,,,2012-01-24,,,2012-08-13,,2015-07-31,2016-02-28,2016-05-30,,,,2018-07-06,2016-07-20,,,,2018-10-17,51,5,5,,,,,,,,212,304
1029,C28001,TAK-580,"An Open-Label, Phase 1, Dose Escalation Study of MLN2480 in Patients With Relapsed or Refractory Solid Tumors Followed by a Dose Expansion Phase in Patients With Metastatic Melanoma",I,Closed,Oncology,150,122,1,0,12,89,0,81.33%,17,0,0,IQVIA,0,,,2011-07-07,,,2011-09-15,,2016-09-30,2017-04-11,2017-04-11,,,,,2017-06-22,,,,,72,5,5,,,,,,,,193,193
1034,MA25101,ADCETRIS,An Observational Cohort Study of the Safety of Brentuximab Vedotin in the Treatment of Relapsed or Refractory CD30+ Hodgkin Lymphoma and Relapsed or Refractory Systemic Anaplastic Large Cell Lymphoma,IV,All Activities Closed,Oncology,0,22,0,0,0,4,0,0,0,0,0,IQVIA,0,,,2012-06-14,,,2013-06-26,,2018-01-09,2018-08-22,2018-09-21,,,,,2018-11-15,,,,,55,5,5,,,,,,,,225,255
1037,C25006,ADCETRIS,"A Phase 4, Open-label, Single-Arm Study of Brentuximab Vedotin in Patients With Relapsed or Refractory Systemic Anaplastic Large Cell Lymphoma",IV,Recruitment Complete,Oncology,49,50,62,0,12,50,0,102.04%,40,0,0,IQVIA,0,,,2012-11-29,,,2014-01-30,,2019-10-10,2020-05-01,2021-05-04,,,,,2021-06-25,,,,,52,5,5,,,,,,,,204,572
1039,C16001,Ninlaro,"An Open-Label, Dose Escalation, Phase 1 Study of MLN9708, a Second Generation Proteasome Inhibitor, in Adult Patients with Advanced Nonhematologic Malignancies",I,Closed,Oncology,116,116,137,0,22,0,35,100.00%,7,0,0,Dobbs Consulting,0,,,2008-12-15,,,2009-03-04,,2012-01-10,2012-04-20,2012-04-20,,,,,2012-05-24,,,,,34,5,5,,,,,,,,101,101
1040,C16002,Ninlaro,"An Open-Label, Dose Escalation, Phase 1 Study of MLN9708, A Second-Generation Proteasome Inhibitor, in Adult Patients with Lymphoma",I,Closed,Oncology,34,31,44,0,13,0,6,91.18%,6,4,0,Dobbs Consulting,0,,,2009-02-26,,,2009-08-20,,2012-10-01,2014-10-20,2014-10-20,,,,2014-10-20,2014-12-20,,,,,61,5,5,,,,,,,,749,749
1043,C15010,pevonedistat (TAK-924),"A Phase 1b, Open-Label, Dose-Escalation, Multi-arm Study of MLN4924 Plus Docetaxel, Gemcitabine, or Combination of Carboplatin and Paclitaxel, in Patients with Solid Tumors",I,Closed,Oncology,64,48,0,0,16,0,0,75.00%,6,0,0,IQVIA,0,,,2013-03-08,,,2013-07-01,,2015-05-04,2016-02-15,2016-02-15,,,,2018-05-21,2016-09-12,,,,2018-06-26,210,5,5,,,,,,,,287,287
1045,C32001,sapanisertib,"A Multicenter, Open-label, Phase 1b Study of MLN0128 (an Oral mTORC1/2 Inhibitor) in Combination With MLN1117 (an Oral PI3Ka Inhibitor) in Adult Patients With Advanced Nonhematologic Malignancies",I,Closed,Oncology,101,85,0,0,16,2,0,84.16%,10,0,0,IQVIA,0,,,2013-03-07,,,2013-07-03,,2016-09-26,2017-03-24,2017-03-24,,,,2018-06-28,2017-04-19,,,,2018-06-29,26,5,5,,,,,,,,179,179
1046,C16018,Ninlaro,A Phase 1 Pharmacokinetic Study of Oral MLN9708 in Patients with Advanced Solid Tumors or Hematologic Malignancies With Varying Degrees of Liver Dysfunction,I,Closed,Oncology,45,48,0,0,0,0,48,106.67%,4,0,0,PPD,0,,,2013-04-19,,,2013-08-27,,2015-01-22,2015-03-25,2015-03-25,,,,2015-03-25,2015-05-19,,,,,55,5,5,,,,,,,,62,62
1048,C25007,ADCETRIS,A Single-arm Study of Brentuximab Vedotin in Patients With Relapsed or Refractory Hodgkin Lymphoma Who Are Not Suitable for Stem Cell Transplantation or Multiagent Chemotherapy,IV,All Activities Closed,Oncology,60,61,0,0,7,8,0,101.67%,21,0,0,IQVIA,0,,,2013-07-11,,,2014-03-21,,2015-03-11,2015-10-11,2016-03-24,,,,2020-03-11,2016-05-23,,,,2020-04-10,60,5,5,,,,,,,,214,379
1052,C34001,TAK-659,"An Open-Label, Dose Escalation, Phase 1, First-in-Human Study of TAK-659 in Adult Patients with Advanced Solid Tumor and Lymphoma Malignancies",I,Recruitment Complete,Oncology,182,144,1,0,51,0,0,79.12%,16,0,0,IQVIA,0,,,2013-09-10,,,2013-12-12,,2018-04-09,2018-07-13,2018-07-13,,,,,2019-02-26,,,,,228,5,5,,,,,,,,95,95
1053,C16020,Ninlaro,"An Open-Label, Phase 2 Study to Evaluate the Oral Combination of MLN9708 With Cyclophosphamide and Dexamethasone In Patients With Newly Diagnosed or Relapsed and/or Refractory Multiple Myeloma Requiring Systemic Treatment",II,Closed,Oncology,148,148,0,0,0,0,0,100.00%,26,0,0,PPD,0,,,2013-07-23,,,2014-03-12,,2015-05-20,2016-12-08,2016-06-29,,,,2018-06-29,2016-08-24,,,,2018-07-30,56,5,5,,,,,,,,568,406
1054,C31001,sapanisertib,A Phase 1b/2 Study of Safety and Efficacy of MLN0128 (Dual TORC1/2 Inhibitor) in Combination With Exemestane or Fulvestrant Therapy in Postmenopausal Women With ER+/HER2- Advanced or Metastatic Breast Cancer That Has Progressed on Treatment With Everolimus in Combination With Exemestane or Fulvestrant,II,Closed,Oncology,118,86,0,0,39,3,0,72.88%,40,0,0,IQVIA,0,,2013-06-27,2013-09-09,,,2014-02-18,,2018-01-05,2018-07-03,2018-07-03,,,,,2018-09-07,,,,,66,5,5,,74,,,,,,179,179
1114,C27002,relugolix,"A Phase 2 Randomized Open-Label, Parallel Group Study to Evaluate the Safety and Efficacy of the oral GnRH Antagonist TAK-385, together with a Leuprorelin Observational Cohort,  in Patients with Prostate Cancer",II,Closed,Oncology,125,48,0,0,27,138,0,38.40%,25,0,0,IQVIA,0,,,2013-12-03,,,2014-04-17,,2015-02-19,2016-08-21,2016-03-31,,,,2017-03-07,2016-06-14,,,,2017-05-24,75,5,5,,,,,,,,549,406
1116,C27003,relugolix,"Phase 2, Randomized, Open-label, Parallel Group Study of the Safety and Efficacy for Medical Castration of the Oral GnRH antagonist, TAK-385, in Patients with Moderate Risk Localized Prostate Cancer Who Require NeoAdjuvant / Adjuvant Therapy to xRT (EBMT or IMRT)",II,Closed,Oncology,100,80,0,0,17,108,0,80.00%,28,0,0,IQVIA,0,,,2014-01-17,,,2014-06-10,,2015-03-30,2015-12-13,2015-12-14,,,,,2016-03-28,,,,,105,5,5,,,,,,,,258,259
1122,C15011,pevonedistat (TAK-924),"A Phase 1 Study to Evaluate the Effects of Fluconazole and Itraconazole CYP3A-Mediated Inhibition on the Pharmacokinetics, Safety, and Tolerability of MLN4924 in Patients With Advanced Solid Tumors",I,Closed,Oncology,52,51,0,0,0,0,11,98.08%,4,0,0,PPD,0,,,2014-02-03,,,2014-05-13,,2016-07-18,2017-01-18,2017-06-05,,,,,2017-08-28,,,,,84,5,5,,,,,,,,184,322
1123,C27005,relugolix,"A Phase 1, Open-label, Drug-drug Interaction Study to Evaluate the Effects of Multiple Oral Doses of Fluconazole or Atorvastatin on the Pharmacokinetics of a Single Oral Dose of TAK-385 in Healthy Subjects",I,Closed,Oncology,40,40,90,0,50,0,1,100.00%,1,2,0,In-House,0,,,2014-01-06,,,2014-03-29,,2014-03-29,2014-04-19,2014-04-19,,,,,2014-05-27,,,,,38,5,5,,,,,,,,21,21
1124,C25004,ADCETRIS,"An open-label study of brentuximab vedotin + Adriamycin®, vinblastine, and dacarbazine in paediatric patients with advanced stage newly diagnosed Hodgkin lymphoma",II,Recruitment Complete,Oncology,67,59,63,0,4,0,59,88.06%,28,0,0,IQVIA,0,,,2016-08-12,,,2017-09-11,,2019-09-25,2020-04-15,2020-12-18,,,,,2021-01-28,,,,,41,5,5,,,,,,,,203,450
1125,C16021,Ninlaro,"A Phase 3, Randomized, Placebo-Controlled, Double-Blind Study of Oral Ixazomib Maintenance Therapy After Initial Therapy in Patients With Newly Diagnosed Multiple Myeloma Not Treated With Stem Cell Transplantation",III,Recruitment Complete,Oncology,706,727,1000,0,284,716,0,102.97%,229,166,0,PPD,0,,,2014-09-15,,,2015-04-23,,2018-10-08,,2019-08-12,2020-10-15,,,,2019-09-18,2020-11-25,,,,37,5,5,,,,,,,,,308
1126,C26002,TAK-264,A phase 2 trial of MLN0264 in previously treated patients with metastatic or recurrent adenocarcinoma of the stomach or gastroesophageal junction expressing guanylyl cyclase C (GCC),II,Terminated,Oncology,38,14,0,0,21,7,0,36.84%,35,0,0,IQVIA,0,,,2014-02-27,,,2014-08-05,,2015-06-02,2015-10-23,2015-10-23,,,,,2016-03-28,,,,,157,5,5,,,,,,,,143,143
1127,C26003,TAK-264,A phase 2 trial of MLN0264 in previously treated patients with advanced or metastatic pancreatic adenocarcinoma expressing guanylyl cyclase C (GCC),II,Terminated,Oncology,43,18,1,0,48,0,0,41.86%,35,0,0,IQVIA,0,,,2014-02-27,,,2014-10-14,,2015-06-30,2015-11-13,2015-11-13,,,,,2016-04-27,,,,,166,5,5,,,,,,,,136,136
1128,C16010CCS,Ninlaro,"A Phase 3, Randomized, Double-Blind, Multicenter Study Comparing Oral MLN9708 Plus Lenalidomide and Dexamethasone Versus Placebo Plus Lenalidomide and Dexamethasone in Adult Patients With Relapsed and/or Refractory Multiple Myeloma",III,Recruitment Complete,Oncology,115,115,146,0,31,0,7,100.00%,11,0,0,PPD,0,,,2013-11-27,,,2014-05-06,,2015-05-04,2016-11-21,2015-07-12,,,,,2015-08-19,,,,,38,5,5,,,,,,,,567,69
1130,C26004,TAK-264,A Phase 1/2 Trial of MLN0264 in Previously Treated Asian Patients With Advanced Gastrointestinal (GI) Carcinoma (Phase 1) or Metastatic or Recurrent Gastric or Gastroesophageal Junction Adenocarcinoma (Phase 2) Expressing Guanylyl Cyclase C (GCC),II,Terminated,Oncology,95,12,12,0,0,0,12,12.63%,21,0,0,IQVIA,0,,,2014-05-15,,,2015-01-19,,2015-06-11,2015-10-08,2015-10-08,,,,,2016-01-12,,,,,96,5,5,,,,,,,,119,119
1132,C34002,TAK-659,"An Open Label, Phase 1b/2 Study Investigating Recommended Phase 2 Dose, Safety, Tolerability, and Preliminary Efficacy of TAK 659  in Adult Patients with Relapsed or Refractory AML",II,Closed,Oncology,106,39,1,0,19,12,0,36.79%,15,0,0,IQVIA,0,,,2014-09-24,,,2015-04-02,,2018-03-29,2018-09-27,2018-09-27,,,,,2019-04-23,,,,2019-07-30,208,5,5,,,,,,,,182,182
1137,C31004,sapanisertib,"A phase 2, randomized study of MLN0128 (a dual TORC1/2 inhibitor), MLN0128 + MLN1117 (a PI3Ka inhibitor), weekly paclitaxel, or the combination of weekly paclitaxel and MLN0128 in women with advanced, recurrent, or persistent endometrial cancer",II,Reported,Oncology,242,245,411,0,166,245,245,101.24%,77,0,0,PRA,0,,2014-04-09,2015-05-26,,,2016-09-22,,2018-10-25,2019-04-30,2019-04-30,,,,2020-10-30,2019-07-29,,,,,90,5,5,,412,,,,,,187,187
1140,Pevonedistat-2001,pevonedistat (TAK-924),"A Phase 2, Randomized, Controlled, Open-Label, Clinical Study of the Efficacy and Safety of Pevonedistat Plus Azacitidine Versus Single-Agent Azacitidine in Patients With Higher-Risk Myelodysplastic Syndromes, Chronic Myelomonocytic Leukemia, and Low-Blast Acute Myelogenous Leukemia",II,Recruitment Complete,Oncology,120,123,0,0,0,0,9,102.50%,72,26,0,PPD,0,,,2015-02-25,,,2016-04-14,,2017-06-21,,2019-09-04,,,,,2019-10-29,,,,,55,5,5,,,,,,,,,805
1141,Pevonedistat-1012,pevonedistat (TAK-924),"A Phase 1/1b, Open-label Study of Pevonedistat (MLN4924, TAK-924) as Single Agent and in
Combination with Azacitidine in Adult East Asian Patients with Acute Myeloid Leukemia (AML)
or Myelodysplastic Syndromes (MDS)",I,Recruitment Complete,Oncology,37,23,0,0,0,0,20,62.16%,9,4,0,PPD,0,,,2016-02-04,,,2016-05-30,,2017-11-20,,2018-04-16,,,,,2018-06-18,,,,,63,5,5,,,,,,,,,147
1142,C31005,sapanisertib,"A Phase 1b/2, Open-Label Study to Evaluate the Efficacy and Safety of Single-Agent MLN0128 and Combination of MLN0128 + MLN1117 Compared With Everolimus in the Treatment of Adult Patients With Advanced Clear-Cell Renal Cell Carcinoma That Has Progressed During or After VEGF-Targeted Therapy",II,Reported,Oncology,96,95,147,0,51,37,87,98.96%,55,3,0,PRA,0,,2014-11-04,2015-05-22,,,2016-09-09,,2018-04-10,2018-10-10,2020-03-06,,,,2020-10-13,2020-04-30,,,,,55,5,5,,199,,,,,,183,696
1158,AD-4833/TOMM40_301,AD-4833/TOMM40,"A Double Blind, Randomized, Placebo Controlled, Parallel Group Study to Simultaneosly Qualify a Biomarker Algorithm for Prognosis of Risk of Developing Mild Cognitive Impairment due to Alzheimer's Disease (MCI due to AD) and to Test the Safety and Efficacy of Pioglitazone (AD-4833 SR 0.8 mg QD) to Delay the Onset of MCI due to AD in Cognitively Normal Subjects",III,Closed,NS,"3,500","3,494",24235,0,20741,0,3398,99.83%,59,65,0,IQVIA,0,,2012-04-19,2013-02-08,,2013-08-01,2013-08-28,,2015-12-21,,2018-08-07,,,,,2018-09-18,,,,,42,5,5,,295,,,27,,,,960
1159,AD-4833/TOMM40_302,AD-4833/TOMM40,Validation Study to Determine Performance Characteristics and Normative Values for Common Cognitive Instruments used to Detect Dementia and Lesser Cognitive Impairments in the Elderly,III,Closed,NS,675,678,784,0,106,0,0,100.44%,4,0,0,Covance,0,,2012-08-15,2013-06-06,,2013-11-29,2013-11-29,,2014-11-20,,2014-12-18,,,,,2015-03-18,,,,,90,5,5,,295,,,0,,,,28
1160,AD-4833-TOMM40_303,AD-4833/TOMM40,A Blinded Long-term Extension Study to Evaluate the Safety and Efficacy of Pioglitazone (AD-4833 Sustained Release 0.8 mg Daily) to Slow the Progression of Cognitive Decline in Subjects Who Have Completed the Ad-4833/TOMM40_301 Study With Diagnosis of Mild Cognitive Impariment Due to Alzheimer Disease,III,Closed,NS,149,40,0,0,0,4,0,26.85%,44,0,0,IQVIA,0,,2013-01-25,2014-03-26,,2015-02-12,2015-02-12,,2017-11-15,,2018-05-09,,,,,2018-09-19,,,,,133,5,5,,425,,,0,,,,175
1166,e0035,soticlestat (TAK-935),Evaluation of [18F]MNI-792 as PET tracer in Healthy Volunteers,I,Closed,NS,11,9,13,0,1,0,3,81.82%,1,0,0,In-House,0,,2014-08-06,2014-09-02,,2014-10-17,2014-10-28,,2015-02-25,,2015-03-02,,,,,2015-03-04,,,,,2,5,5,,27,,,11,,,,5
1176,Leuprorelin-5001,LEUPLIN (leuprorelin acetate),An Observational Retrospective Study to Evaluate the Safety and Efficacy of Leuprorelin in the Treatment of Central Precocious Puberty,IV,Closed,NonCore,100,108,129,0,20,0,1,108.00%,8,0,0,Hangzhou Tigermed Consulting,0,,2016-08-16,2016-10-10,,,2017-06-24,,2018-09-30,,2018-09-30,,,,,2019-01-30,,,,,122,5,5,,55,,,,,,,0
1212,MLN0002-2003,Entyvio,"A Phase 2, Randomized, Double-Blind, Dose Ranging Study to determine the Pharmacokinetics, Safety and Tolerability of Vedolizumab IV in Pediatric Subjects With Ulcerative Colitis or Crohn's Disease",II,Reported,GI,80,90,138,0,48,90,23,112.50%,71,5,0,PRA,0,,2014-08-08,2016-10-10,,2017-11-08,2017-12-04,,2019-12-22,,2020-05-26,,,,,2020-05-27,,,,,1,5,5,,794,,,26,,,,156
1215,MLN0002-3026,Entyvio,"A randomized double blind, double dummy multicenter active controlled study to evaluate the efficacy and safety of Vedolizumab IV compared to Adalimumab SC in subjects with Ulcerative Colitis",III,Closed,GI,758,769,1285,0,516,0,243,101.45%,331,0,0,IQVIA,0,,2014-12-12,2015-02-27,,,2015-07-10,,2017-09-27,,2019-01-18,,,,,2019-03-08,,,,,49,5,5,,77,,,,,,,478
1216,MLN0002-3028,Entyvio,An Open Label Phase 3b Study to Assess Mucosal Healing in Patients with Moderatively to Severely Active Crohn's Disease Treated With Vedolizumab,III,Closed,GI,100,80,8,0,49,2,0,80.00%,75,0,0,IQVIA,0,,2014-07-16,2014-12-03,,,2015-04-13,,2016-11-30,,2018-02-21,,,,,2018-04-06,,,,,44,5,5,,140,,,,,,,448
1218,MLN0002SC-3030,Entyvio SC,"A Phase 3b Open-Label Study to Determine the Long-term Safety and Efficacy of
Vedolizumab Subcutaneous in Subjects With Ulcerative Colitis and Crohn’s Disease",III,Recruitment Complete,GI,746,747,0,0,0,28,387,100.13%,348,0,0,IQVIA,0,,2014-12-12,2015-02-27,,2016-04-15,2016-04-15,,2019-05-14,,2018-05-31,2019-04-15,2019-05-17,2019-07-25,,2018-11-07,2019-06-10,2019-07-30,2019-09-12,,160,5,5,,77,,,0,,,,-348
1219,MLN0002SC-3031,Entyvio SC,"A Phase 3 Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Vedolizumab Subcutaneous as Maintenance Therapy in Subjects With Moderately to Severely Active Crohn’s Disease Who Achieved Clinical Response Following Open-Label Vedolizumab Intravenous Therapy",III,Closed,GI,645,644,1072,0,428,0,169,99.84%,222,0,0,IQVIA,0,,2014-12-11,2015-02-26,,2015-12-14,2016-01-04,,2018-04-25,,2019-05-06,,,,2019-08-21,2019-07-02,,,,2019-10-11,57,5,5,,77,,,21,,,,376
1229,MLN9708_101,Ninlaro,"A Phase 1b, Randomized, Double-Blind, Placebo-Controlled, Safety, Toelrability and PK Study of Multiple Rising Doses of  of MLN9708 for the Treatment of Subjects ith ISN/RPS Class III or IV Lupus Nephritis",I,Terminated,Oncology,40,12,0,0,0,0,0,30.00%,34,0,0,PPD,0,,,2013-12-17,,,2014-07-09,,2017-06-19,2018-01-15,2018-01-15,,,,,2018-03-09,,,,,53,5,5,,,,,,,,210,210
1243,MLN0002SC-3027,Entyvio SC,"A Phase 3 Randomized, Double-Blind, Placebo-Controlled Study, with a Vedolizumab IV
Reference Arm, to Evaluate the Efficacy and Safety of Vedolizumab Subcutaneous as
Maintenance Therapy in Subjects With Moderately to Severely Active Ulcerative Colitis Who Achieved Clinical Response Following Open-Label Vedolizumab Intravenous Therapy",III,Closed,GI,400,203,1,0,116,1,0,50.75%,250,0,0,IQVIA,0,,2014-12-12,2015-02-27,,2016-02-19,2016-01-08,,2017-05-31,,2018-05-30,,,,2018-08-21,2018-07-03,,,,2018-11-30,34,5,5,,77,,,-42,,,,364
1253,TAK-831-1001,TAK-831,"A PHASE I, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, SAFETY, TOLERABILITY AND PHARMACOKINETIC STUDY OF ESCALATING SINGLE AND MULTIPLE DOSES OF TAK-831 IN HEALTHY SUBJECTS",I,Closed,NS,120,280,0,0,0,29,0,233.33%,1,0,0,IQVIA,0,,2015-03-11,2015-07-16,,2015-09-23,2015-10-07,,2016-06-01,,2016-06-09,,,,,2016-10-12,,,,,125,5,5,,127,,,14,,,,8
